,Symbol,Price,SHARE1,PRICE1,SHARE2,PRICE2,SHARE3,PRICE3,SHARE4,PRICE4,SHARE5,PRICE5,SHARE6,PRICE6,SHARE7,PRICE7,IPO_PRICE,total_option_share,adjusted_price,Lowball,Outstanding_share,percentage_share
0,ASND,18,1247644,3.85,1752180,9.11,0,0,0,0,,,,,,,,2999824,6.92233584370283,TRUE,46302000,0.0647882164917282
1,VKTX,8,886212,4.77,9667500,1.57,0,0,0,0,,,,,,,,10553712,1.83870909496109,TRUE,72048000,0.146481678880746
2,OPGN,6,1230772,0.78,0,0,0,0,0,0,,,,,,,,1230772,0.78,TRUE,17646000,0.0697479315425592
3,HTGM,14,58252138,0.03,5569524,0.181,9321176,0.2189,0,0,,,,,,,,73142838,0.0655710598814883,TRUE,28606000,2.55690547437601
4,RKDA,8,14571883,0.72,500000,1.53,980000,1.8,5347591,4.49,,,,,,,,21399474,1.73048362543864,TRUE,4777000,4.47968892610425
5,KMPH,11,4123800,0.84,19893888,0.76,,,,,,,,,,,,24017688,0.773735876658903,TRUE,26676000,0.900348178137652
6,FIT,20,31619974,3.29,1471063,18.85,1303328,0.89,,,,,,,,,,34394365,3.86456368448727,TRUE,223456000,0.153920078225691
7,VYGR,14,1440990,1.71,,,,,,,,,,,,,,1440990,1.71,TRUE,36831000,0.0391243789199316
8,BZUN,10,70000,0.0001,14773613,0.0136,1780482,1.5,2008040,2.8679,1699332,2.715,4400000,2.715,,,,24731467,1.01854837130365,TRUE,160050000,0.154523380193689
9,SEDG,18,8000000,20.94,6201291,3.13,1500000,17.8,,,,,,,,,,15701291,13.605890167248,TRUE,47501000,0.330546535862403
10,FLKS,16,3969225,,,,,,,,,,,,,,,3969225,0,TRUE,18069000,0.219670430018263
11,KRNT,10,2790312,2.13,908394,13.93,,,,,,,,,,,,3698706,5.0280538599175,TRUE,35178000,0.105142589118199
12,ACRS,11,1725961,0.35,,,,,,,,,,,,,,1725961,0.35,TRUE,41270000,0.0418212018415314
13,MIME,10,967135,0.51,4151282,4.28,957237,2.36,5500000,9.41,1100000,9.41,,,,,,12675654,6.5184648563301,TRUE,60422000,0.209785409288008
14,TRU,22.5,12044,6.65,6619789,6.65,392532,6.65,117300,11.42,,,,,,,,7141665,6.72834601595006,TRUE,187300000,0.0381295515216231
15,ZYNE,14,1140000,2.12,,,,,,,,,,,,,,1140000,2.12,TRUE,21075000,0.0540925266903915
16,RUN,14,10610240,4.46,2589950,9.17,,,,,,,,,,,,13200190,5.38412794815832,TRUE,114795000,0.114989241691711
17,AIMT,16,144158,0.19,,,,,,,,,,,,,,144158,0.19,TRUE,62470000,0.00230763566511926
18,INST,16,5467958,3.51,155000,1.41,,,,,,,,,,,,5622958,3.45211231881867,TRUE,36583000,0.153704124866741
19,AQMS,5,315000,3.23,24038,3.23,19230,3.23,624268,3.23,,,,,,,,982536,3.23,TRUE,44751000,0.021955621103439
20,SGRY,19,4815700,17.975,,,,,,,,,,,,,,4815700,17.975,TRUE,49409000,0.0974660486955818
21,OLLI,16,5250000,16,6747625,7.22,,,,,,,,,,,,11997625,11.0620103978912,TRUE,63192000,0.189859871502722
22,ALRM,14,3337968,2.68,482276,11.55,173575,4.28,,,,,,,,,,3993819,3.82063960334707,TRUE,48305000,0.0826792050512369
23,PEN,30,2460574,5.27,867000,22.04,,,,,,,,,,,,3327574,9.63942649509823,TRUE,34732000,0.0958071519060233
24,PSTG,17,59227741,4.15,,,,,,,,,,,,,,59227741,4.15,TRUE,244931000,0.241813984346612
25,VTVT,15,370370,0.54,,,,,,,,,,,,,,370370,0.54,TRUE,27256000,0.0135885676548283
26,WVE,16,456449,10,42050,31.38,,,,,,,,,,,,498499,11.8034720230131,TRUE,34255000,0.0145525908626478
27,NEOS,15,1506674,2,2926349,3.62,,,,,,,,,,,,4433023,3.06940238749043,TRUE,49723000,0.0891543752388231
28,AVGR,13,47297276,0.28,14257803,0.36,,,,,,,,,,,,61555079,0.298530140136771,TRUE,64186000,0.959010983703611
29,NVTA,16,8243351,0.4,3620000,1.45,,,,,,,,,,,,11863351,0.720398511348101,TRUE,89825000,0.132071817422766
30,CDTX,16,18012469,0.09,,,,,,,,,,,,,,18012469,0.09,TRUE,26642000,0.676092973500488
31,LOB,17,22500,16.77,,,,,,,,,,,,,,22500,16.77,TRUE,40175000,0.000560049782202862
32,BPMC,18,7344277,0.37,233333,1.07,,,,,,,,,,,,7577610,0.391554698645087,TRUE,48849000,0.155123134557514
33,ONCE,23,11322562,0.9,8665046,0.69,,,,,,,,,,,,19987608,0.808960608993332,TRUE,38733000,0.516035628533808
34,CHCT,19,525782,17.96,,,,,,,,,,,,,,525782,17.96,TRUE,18817000,0.0279418610830632
35,BSM,19,17420310,17.99,,,,,,,,,,,,,,17420310,17.99,TRUE,109383000,0.159259757000631
36,GBT,20,4165225,0.23,2232500,0.97,2127500,0.97,,,,,,,,,,8525225,0.608453354603544,TRUE,56404000,0.151145752074321
37,RPD,16,4006962,5.44,200000,10,,,,,,,,,,,,4206962,5.65678351266306,TRUE,48191000,0.0872976696893611
38,CHMA,16,14828326,0.23,33094631,0.53,,,,,,,,,,,,47922957,0.437173970921703,TRUE,31765000,1.50867171415079
39,CFMS,15,1368674,5.05,11298395,2.62,,,,,,,,,,,,12667069,2.88256096181366,TRUE,67881000,0.186606988700815
40,YRD,10,10000000,6.8975,,,,,,,,,,,,,,10000000,6.8975,TRUE,123063000,0.0812591924461455
41,JP,10,10669400,0.48,1061600,1,5839281,1.4183,,,,,,,,,,17570281,0.823251730709372,TRUE,201737000,0.0870949850547991
